"Assay",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax","grp"
"CXCL1","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,34,0.009,0.0334285714285714,"*",14.02128,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CXCL1","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,31,0.041,0.152285714285714,"ns",16.14284,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CD244","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,15,0.699,0.790173913043478,"ns",0.49048,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CD244","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,17,0.937,0.97448,"ns",2.61204,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CD244","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,30,0.065,0.112666666666667,"ns",4.7336,5,7,"CD19 CAR_EGFRvIII CAR"
"CD244","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,12,0.394,0.465636363636364,"ns",6.85516,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CD244","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,32,0.026,0.2132,"ns",8.97672,5,6,"CD19 CAR_CD19-SGRP CAR"
"CD244","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,20,0.818,0.886166666666667,"ns",11.09828,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CD244","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,9,0.18,0.39,"ns",13.21984,4,8,"aCD47_EGFRvIII CAR + aCD47"
"IL15","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,9,0.18,0.246315789473684,"ns",4.25248,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"IL15","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,5,19,0.537,0.7657,"ns",6.37404,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"IL15","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,28,0.132,0.201882352941176,"ns",8.4956,5,7,"CD19 CAR_EGFRvIII CAR"
"IL15","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",5,5,19,0.222,0.346666666666667,"ns",10.61716,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"IL15","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,5,18,0.662,0.9087,"ns",12.73872,5,6,"CD19 CAR_CD19-SGRP CAR"
"IL15","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,5,26,0.052,0.169,"ns",14.86028,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"IL15","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,28,0.132,0.381333333333333,"ns",16.98184,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CCL4","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,28,0.132,0.246315789473684,"ns",1.93148,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CCL4","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,12,0.394,0.7657,"ns",4.05304,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CCL4","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,21,0.699,0.75725,"ns",6.1746,5,7,"CD19 CAR_EGFRvIII CAR"
"CCL4","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,12,0.394,0.465636363636364,"ns",8.29616,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CCL4","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,26,0.24,0.732727272727273,"ns",10.41772,5,6,"CD19 CAR_CD19-SGRP CAR"
"CCL4","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,7,0.093,0.2015,"ns",12.53928,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CCL4","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,22,0.589,0.957125,"ns",14.66084,4,8,"aCD47_EGFRvIII CAR + aCD47"
